Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 39, All-Time Max X: 39, Episode Reward: 2339.0
Step: 500, Episode: 0, Stage: 1-1, Score: 200, Time: 300, Episode Max X: 311, All-Time Max X: 311, Episode Reward: -128617.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 1250, Time: 203, Episode Max X: 344, All-Time Max X: 344, Episode Reward: -284308.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 1500, Time: 103, Episode Max X: 361, All-Time Max X: 361, Episode Reward: -468094.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 1500, Time: 3, Episode Max X: 373, All-Time Max X: 373, Episode Reward: -566765.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 1100, Time: 306, Episode Max X: 451, All-Time Max X: 451, Episode Reward: -145583.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 1150, Time: 206, Episode Max X: 594, All-Time Max X: 594, Episode Reward: -334233.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 1150, Time: 106, Episode Max X: 722, All-Time Max X: 722, Episode Reward: -491164.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 1250, Time: 383, Episode Max X: 875, All-Time Max X: 875, Episode Reward: -976335.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 1550, Time: 283, Episode Max X: 875, All-Time Max X: 875, Episode Reward: -1136539.0
Step: 5000, Episode: 1, Stage: 1-1, Score: 2900, Time: 186, Episode Max X: 875, All-Time Max X: 875, Episode Reward: -1325708.0
Step: 5500, Episode: 1, Stage: 1-1, Score: 3000, Time: 86, Episode Max X: 875, All-Time Max X: 875, Episode Reward: -1438774.0
Step: 6000, Episode: 3, Stage: 1-1, Score: 0, Time: 386, Episode Max X: 228, All-Time Max X: 875, Episode Reward: 13374.0
Step: 6500, Episode: 3, Stage: 1-1, Score: 300, Time: 301, Episode Max X: 323, All-Time Max X: 875, Episode Reward: -240947.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 300, Time: 201, Episode Max X: 595, All-Time Max X: 875, Episode Reward: -390531.0
Step: 7500, Episode: 3, Stage: 1-1, Score: 300, Time: 101, Episode Max X: 617, All-Time Max X: 875, Episode Reward: -564926.0
Step: 8000, Episode: 3, Stage: 1-1, Score: 300, Time: 1, Episode Max X: 617, All-Time Max X: 875, Episode Reward: -721063.0
Step: 8500, Episode: 5, Stage: 1-1, Score: 0, Time: 390, Episode Max X: 242, All-Time Max X: 897, Episode Reward: -225419.0
Step: 9000, Episode: 5, Stage: 1-1, Score: 1250, Time: 293, Episode Max X: 595, All-Time Max X: 897, Episode Reward: -318649.0
Step: 9500, Episode: 5, Stage: 1-1, Score: 1250, Time: 193, Episode Max X: 723, All-Time Max X: 897, Episode Reward: -436689.0
Step: 10000, Episode: 5, Stage: 1-1, Score: 1450, Time: 95, Episode Max X: 898, All-Time Max X: 898, Episode Reward: -607101.0
Step: 10500, Episode: 7, Stage: 1-1, Score: 0, Time: 395, Episode Max X: 82, All-Time Max X: 900, Episode Reward: -803.0
Step: 11000, Episode: 7, Stage: 1-1, Score: 0, Time: 308, Episode Max X: 595, All-Time Max X: 900, Episode Reward: -185445.0
Step: 11500, Episode: 7, Stage: 1-1, Score: 100, Time: 208, Episode Max X: 722, All-Time Max X: 900, Episode Reward: -292009.0
Step: 12000, Episode: 7, Stage: 1-1, Score: 500, Time: 107, Episode Max X: 915, All-Time Max X: 915, Episode Reward: -862941.0
Step: 12500, Episode: 9, Stage: 1-1, Score: 0, Time: 378, Episode Max X: 449, All-Time Max X: 2803, Episode Reward: 23487.0
Step: 13000, Episode: 9, Stage: 1-1, Score: 0, Time: 278, Episode Max X: 723, All-Time Max X: 2803, Episode Reward: -73201.0
Step: 13500, Episode: 9, Stage: 1-1, Score: 200, Time: 178, Episode Max X: 898, All-Time Max X: 2803, Episode Reward: -184484.0
Step: 14000, Episode: 9, Stage: 1-1, Score: 200, Time: 78, Episode Max X: 899, All-Time Max X: 2803, Episode Reward: -386636.0
Step: 14500, Episode: 11, Stage: 1-1, Score: 100, Time: 378, Episode Max X: 448, All-Time Max X: 2803, Episode Reward: -2954.0
Step: 15000, Episode: 11, Stage: 1-1, Score: 200, Time: 278, Episode Max X: 723, All-Time Max X: 2803, Episode Reward: -121140.0
Step: 15500, Episode: 11, Stage: 1-1, Score: 200, Time: 178, Episode Max X: 723, All-Time Max X: 2803, Episode Reward: -256606.0
Step: 16000, Episode: 11, Stage: 1-1, Score: 200, Time: 78, Episode Max X: 723, All-Time Max X: 2803, Episode Reward: -340701.0
Step: 16500, Episode: 13, Stage: 1-1, Score: 0, Time: 390, Episode Max X: 285, All-Time Max X: 2803, Episode Reward: -120430.0
Step: 17000, Episode: 15, Stage: 1-1, Score: 0, Time: 323, Episode Max X: 594, All-Time Max X: 2803, Episode Reward: -69071.0
Step: 17500, Episode: 15, Stage: 1-1, Score: 100, Time: 223, Episode Max X: 722, All-Time Max X: 2803, Episode Reward: -129915.0
Step: 18000, Episode: 15, Stage: 1-1, Score: 100, Time: 123, Episode Max X: 723, All-Time Max X: 2803, Episode Reward: -221635.0
