Step: 500, Episode: 0, Stage: 1-1, Score: 400, Time: 300, Episode Max X: 673, All-Time Max X: 673, Episode Reward: 10663.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 800, Time: 315, Episode Max X: 857, All-Time Max X: 857, Episode Reward: -60372.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 900, Time: 215, Episode Max X: 857, All-Time Max X: 857, Episode Reward: -105317.0
Step: 2000, Episode: 1, Stage: 1-1, Score: 0, Time: 353, Episode Max X: 481, All-Time Max X: 857, Episode Reward: 14193.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 200, Time: 253, Episode Max X: 675, All-Time Max X: 857, Episode Reward: -11422.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 4100, Time: 153, Episode Max X: 916, All-Time Max X: 916, Episode Reward: -48450.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 4100, Time: 53, Episode Max X: 916, All-Time Max X: 916, Episode Reward: -101921.0
Step: 4000, Episode: 2, Stage: 1-1, Score: 100, Time: 375, Episode Max X: 460, All-Time Max X: 916, Episode Reward: -8649.0
Step: 4500, Episode: 2, Stage: 1-1, Score: 200, Time: 380, Episode Max X: 898, All-Time Max X: 916, Episode Reward: -74078.0
Step: 5000, Episode: 3, Stage: 1-1, Score: 200, Time: 345, Episode Max X: 725, All-Time Max X: 916, Episode Reward: 1227.0
Step: 5500, Episode: 4, Stage: 1-1, Score: 0, Time: 372, Episode Max X: 722, All-Time Max X: 916, Episode Reward: -14237.0
Step: 6000, Episode: 4, Stage: 1-1, Score: 600, Time: 388, Episode Max X: 1218, All-Time Max X: 1218, Episode Reward: -86722.0
Step: 6500, Episode: 5, Stage: 1-1, Score: 400, Time: 348, Episode Max X: 690, All-Time Max X: 1218, Episode Reward: 32158.0
Step: 7000, Episode: 6, Stage: 1-1, Score: 0, Time: 350, Episode Max X: 384, All-Time Max X: 1218, Episode Reward: 3992.0
Step: 7500, Episode: 6, Stage: 1-1, Score: 1200, Time: 357, Episode Max X: 1215, All-Time Max X: 1218, Episode Reward: -35731.0
Step: 8000, Episode: 6, Stage: 1-1, Score: 1600, Time: 257, Episode Max X: 1215, All-Time Max X: 1218, Episode Reward: -69796.0
Step: 8500, Episode: 7, Stage: 1-1, Score: 0, Time: 369, Episode Max X: 226, All-Time Max X: 1218, Episode Reward: 2795.0
Step: 9000, Episode: 7, Stage: 1-1, Score: 100, Time: 269, Episode Max X: 703, All-Time Max X: 1218, Episode Reward: -1219.0
Step: 9500, Episode: 7, Stage: 1-1, Score: 400, Time: 394, Episode Max X: 1394, All-Time Max X: 1394, Episode Reward: 514.0
Step: 10000, Episode: 8, Stage: 1-1, Score: 500, Time: 311, Episode Max X: 898, All-Time Max X: 1430, Episode Reward: 23362.0
Step: 10500, Episode: 9, Stage: 1-1, Score: 300, Time: 358, Episode Max X: 288, All-Time Max X: 1430, Episode Reward: 6736.0
Step: 11000, Episode: 9, Stage: 1-1, Score: 400, Time: 396, Episode Max X: 898, All-Time Max X: 1430, Episode Reward: -47736.0
Step: 11500, Episode: 11, Stage: 1-1, Score: 0, Time: 392, Episode Max X: 90, All-Time Max X: 1430, Episode Reward: 454.0
Step: 12000, Episode: 11, Stage: 1-1, Score: 0, Time: 292, Episode Max X: 620, All-Time Max X: 1430, Episode Reward: -9331.0
Step: 12500, Episode: 11, Stage: 1-1, Score: 800, Time: 345, Episode Max X: 1130, All-Time Max X: 1430, Episode Reward: -66841.0
Step: 13000, Episode: 11, Stage: 1-1, Score: 1300, Time: 391, Episode Max X: 1623, All-Time Max X: 1623, Episode Reward: -89065.0
Step: 13500, Episode: 12, Stage: 1-1, Score: 300, Time: 395, Episode Max X: 899, All-Time Max X: 1623, Episode Reward: -21066.0
Step: 14000, Episode: 13, Stage: 1-1, Score: 100, Time: 358, Episode Max X: 512, All-Time Max X: 1623, Episode Reward: 22609.0
Step: 14500, Episode: 13, Stage: 1-1, Score: 200, Time: 388, Episode Max X: 898, All-Time Max X: 1623, Episode Reward: -55231.0
Step: 15000, Episode: 14, Stage: 1-1, Score: 100, Time: 380, Episode Max X: 448, All-Time Max X: 1623, Episode Reward: 4595.0
Step: 15500, Episode: 14, Stage: 1-1, Score: 400, Time: 305, Episode Max X: 731, All-Time Max X: 1623, Episode Reward: -51065.0
Step: 16000, Episode: 15, Stage: 1-1, Score: 300, Time: 352, Episode Max X: 583, All-Time Max X: 1623, Episode Reward: 24324.0
Step: 16500, Episode: 15, Stage: 1-1, Score: 400, Time: 325, Episode Max X: 1113, All-Time Max X: 1623, Episode Reward: -45366.0
Step: 17000, Episode: 15, Stage: 1-1, Score: 700, Time: 324, Episode Max X: 1113, All-Time Max X: 1623, Episode Reward: -129423.0
Step: 17500, Episode: 16, Stage: 1-1, Score: 0, Time: 349, Episode Max X: 526, All-Time Max X: 1623, Episode Reward: 20475.0
Step: 18000, Episode: 16, Stage: 1-1, Score: 100, Time: 377, Episode Max X: 899, All-Time Max X: 1623, Episode Reward: -92705.0
Step: 18500, Episode: 18, Stage: 1-1, Score: 0, Time: 397, Episode Max X: 220, All-Time Max X: 1623, Episode Reward: -4785.0
Step: 19000, Episode: 19, Stage: 1-1, Score: 0, Time: 386, Episode Max X: 163, All-Time Max X: 1623, Episode Reward: 4415.0
Step: 19500, Episode: 19, Stage: 1-1, Score: 200, Time: 393, Episode Max X: 898, All-Time Max X: 1623, Episode Reward: -47091.0
Step: 20000, Episode: 20, Stage: 1-1, Score: 200, Time: 375, Episode Max X: 289, All-Time Max X: 1623, Episode Reward: -14920.0
Step: 20500, Episode: 21, Stage: 1-1, Score: 0, Time: 385, Episode Max X: 201, All-Time Max X: 1623, Episode Reward: 7406.0
Step: 21000, Episode: 21, Stage: 1-1, Score: 500, Time: 378, Episode Max X: 818, All-Time Max X: 1623, Episode Reward: -72533.0
Step: 21500, Episode: 23, Stage: 1-1, Score: 400, Time: 398, Episode Max X: 664, All-Time Max X: 1623, Episode Reward: -3692.0
Step: 22000, Episode: 23, Stage: 1-1, Score: 1900, Time: 315, Episode Max X: 898, All-Time Max X: 1623, Episode Reward: -28026.0
Step: 22500, Episode: 25, Stage: 1-1, Score: 0, Time: 398, Episode Max X: 57, All-Time Max X: 2681, Episode Reward: 3435.0
Step: 23000, Episode: 26, Stage: 1-1, Score: 0, Time: 393, Episode Max X: 189, All-Time Max X: 2681, Episode Reward: 8556.0
Step: 23500, Episode: 26, Stage: 1-1, Score: 400, Time: 335, Episode Max X: 898, All-Time Max X: 2681, Episode Reward: -20748.0
Step: 24000, Episode: 27, Stage: 1-1, Score: 200, Time: 392, Episode Max X: 722, All-Time Max X: 2681, Episode Reward: -16913.0
Step: 24500, Episode: 27, Stage: 1-1, Score: 500, Time: 399, Episode Max X: 1429, All-Time Max X: 2681, Episode Reward: -17897.0
Step: 25000, Episode: 29, Stage: 1-1, Score: 200, Time: 395, Episode Max X: 667, All-Time Max X: 2681, Episode Reward: -12370.0
Step: 25500, Episode: 30, Stage: 1-1, Score: 1200, Time: 350, Episode Max X: 839, All-Time Max X: 2681, Episode Reward: -1096.0
Step: 26000, Episode: 30, Stage: 1-1, Score: 1500, Time: 332, Episode Max X: 898, All-Time Max X: 2681, Episode Reward: -93909.0
Step: 26500, Episode: 32, Stage: 1-1, Score: 0, Time: 391, Episode Max X: 307, All-Time Max X: 2681, Episode Reward: 17763.0
Step: 27000, Episode: 32, Stage: 1-1, Score: 0, Time: 291, Episode Max X: 963, All-Time Max X: 2681, Episode Reward: 28354.0
Step: 27500, Episode: 33, Stage: 1-1, Score: 100, Time: 371, Episode Max X: 847, All-Time Max X: 2681, Episode Reward: -15972.0
Step: 28000, Episode: 35, Stage: 1-1, Score: 0, Time: 391, Episode Max X: 722, All-Time Max X: 2681, Episode Reward: -10224.0
Step: 28500, Episode: 36, Stage: 1-1, Score: 200, Time: 363, Episode Max X: 1131, All-Time Max X: 2681, Episode Reward: -33997.0
Step: 29000, Episode: 38, Stage: 1-1, Score: 0, Time: 380, Episode Max X: 467, All-Time Max X: 2681, Episode Reward: 25367.0
Step: 29500, Episode: 39, Stage: 1-1, Score: 500, Time: 345, Episode Max X: 1106, All-Time Max X: 2681, Episode Reward: 58521.0
Step: 30000, Episode: 41, Stage: 1-1, Score: 0, Time: 397, Episode Max X: 100, All-Time Max X: 2681, Episode Reward: 6057.0
Step: 30500, Episode: 41, Stage: 1-1, Score: 500, Time: 368, Episode Max X: 919, All-Time Max X: 2681, Episode Reward: -56958.0
Step: 31000, Episode: 42, Stage: 1-1, Score: 100, Time: 376, Episode Max X: 680, All-Time Max X: 2681, Episode Reward: 39099.0
Step: 31500, Episode: 43, Stage: 1-1, Score: 0, Time: 391, Episode Max X: 680, All-Time Max X: 2681, Episode Reward: -4368.0
Step: 32000, Episode: 45, Stage: 1-1, Score: 0, Time: 398, Episode Max X: 101, All-Time Max X: 2681, Episode Reward: 6119.0
Step: 32500, Episode: 47, Stage: 1-1, Score: 100, Time: 384, Episode Max X: 624, All-Time Max X: 2681, Episode Reward: 38408.0
Step: 33000, Episode: 49, Stage: 1-1, Score: 0, Time: 399, Episode Max X: 297, All-Time Max X: 2681, Episode Reward: -2349.0
Step: 33500, Episode: 50, Stage: 1-1, Score: 500, Time: 395, Episode Max X: 1385, All-Time Max X: 2681, Episode Reward: -43997.0
Step: 34000, Episode: 52, Stage: 1-1, Score: 0, Time: 388, Episode Max X: 319, All-Time Max X: 2681, Episode Reward: 17727.0
Step: 34500, Episode: 52, Stage: 1-1, Score: 500, Time: 387, Episode Max X: 1114, All-Time Max X: 2681, Episode Reward: -64095.0
Step: 35000, Episode: 53, Stage: 1-1, Score: 200, Time: 350, Episode Max X: 855, All-Time Max X: 2681, Episode Reward: 619.0
Step: 35500, Episode: 55, Stage: 1-1, Score: 400, Time: 373, Episode Max X: 676, All-Time Max X: 2681, Episode Reward: 22465.0
Step: 36000, Episode: 56, Stage: 1-1, Score: 500, Time: 354, Episode Max X: 900, All-Time Max X: 2681, Episode Reward: 31072.0
Step: 36500, Episode: 58, Stage: 1-1, Score: 500, Time: 375, Episode Max X: 722, All-Time Max X: 2681, Episode Reward: 1868.0
Step: 37000, Episode: 60, Stage: 1-1, Score: 200, Time: 375, Episode Max X: 447, All-Time Max X: 2681, Episode Reward: 22432.0
Step: 37500, Episode: 61, Stage: 1-1, Score: 0, Time: 395, Episode Max X: 307, All-Time Max X: 2681, Episode Reward: -2142.0
Step: 38000, Episode: 63, Stage: 1-1, Score: 0, Time: 397, Episode Max X: 312, All-Time Max X: 2681, Episode Reward: -2269.0
Step: 38500, Episode: 65, Stage: 1-1, Score: 500, Time: 369, Episode Max X: 898, All-Time Max X: 2681, Episode Reward: 58747.0
Step: 39000, Episode: 66, Stage: 1-1, Score: 100, Time: 394, Episode Max X: 695, All-Time Max X: 2681, Episode Reward: -23335.0
Step: 39500, Episode: 67, Stage: 1-1, Score: 300, Time: 339, Episode Max X: 1414, All-Time Max X: 2681, Episode Reward: 28934.0
Step: 40000, Episode: 68, Stage: 1-1, Score: 200, Time: 307, Episode Max X: 1101, All-Time Max X: 2681, Episode Reward: 33508.0
Step: 40500, Episode: 69, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 147, All-Time Max X: 2681, Episode Reward: 5796.0
Step: 41000, Episode: 69, Stage: 1-1, Score: 500, Time: 387, Episode Max X: 1126, All-Time Max X: 2681, Episode Reward: -42138.0
Step: 41500, Episode: 71, Stage: 1-1, Score: 0, Time: 399, Episode Max X: 701, All-Time Max X: 2681, Episode Reward: -22950.0
Step: 42000, Episode: 74, Stage: 1-1, Score: 200, Time: 372, Episode Max X: 906, All-Time Max X: 2681, Episode Reward: 56238.0
