Step: 500, Episode: 0, Stage: 1-1, Score: 100, Time: 334, Episode Max X: 241, All-Time Max X: 241, Episode Reward: -486321.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 700, Time: 234, Episode Max X: 571, All-Time Max X: 571, Episode Reward: -827654.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 700, Time: 134, Episode Max X: 720, All-Time Max X: 720, Episode Reward: -1119558.0
Step: 2000, Episode: 1, Stage: 1-1, Score: 0, Time: 374, Episode Max X: 536, All-Time Max X: 815, Episode Reward: 17750.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 100, Time: 334, Episode Max X: 818, All-Time Max X: 818, Episode Reward: -644129.0
Step: 3000, Episode: 1, Stage: 1-1, Score: 1350, Time: 237, Episode Max X: 818, All-Time Max X: 818, Episode Reward: -918555.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 1450, Time: 373, Episode Max X: 1135, All-Time Max X: 1135, Episode Reward: -1675871.0
Step: 4000, Episode: 1, Stage: 1-1, Score: 1450, Time: 273, Episode Max X: 1135, All-Time Max X: 1135, Episode Reward: -1921853.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 1450, Time: 173, Episode Max X: 1135, All-Time Max X: 1135, Episode Reward: -2291260.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 100, Time: 364, Episode Max X: 687, All-Time Max X: 1135, Episode Reward: 10648.0
Step: 5500, Episode: 2, Stage: 1-1, Score: 500, Time: 396, Episode Max X: 1105, All-Time Max X: 1135, Episode Reward: -821504.0
Step: 6000, Episode: 3, Stage: 1-1, Score: 0, Time: 357, Episode Max X: 386, All-Time Max X: 1135, Episode Reward: -266363.0
Step: 6500, Episode: 3, Stage: 1-1, Score: 200, Time: 371, Episode Max X: 814, All-Time Max X: 1135, Episode Reward: -926203.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 200, Time: 271, Episode Max X: 814, All-Time Max X: 1135, Episode Reward: -1206625.0
Step: 7500, Episode: 4, Stage: 1-1, Score: 0, Time: 329, Episode Max X: 281, All-Time Max X: 1135, Episode Reward: -187930.0
Step: 8000, Episode: 4, Stage: 1-1, Score: 0, Time: 385, Episode Max X: 722, All-Time Max X: 1135, Episode Reward: -815723.0
Step: 8500, Episode: 5, Stage: 1-1, Score: 0, Time: 392, Episode Max X: 274, All-Time Max X: 1135, Episode Reward: -464861.0
Step: 9000, Episode: 5, Stage: 1-1, Score: 200, Time: 292, Episode Max X: 434, All-Time Max X: 1135, Episode Reward: -774077.0
Step: 9500, Episode: 5, Stage: 1-1, Score: 200, Time: 192, Episode Max X: 760, All-Time Max X: 1135, Episode Reward: -1046170.0
Step: 10000, Episode: 6, Stage: 1-1, Score: 100, Time: 317, Episode Max X: 724, All-Time Max X: 1135, Episode Reward: -170582.0
Step: 10500, Episode: 6, Stage: 1-1, Score: 400, Time: 217, Episode Max X: 898, All-Time Max X: 1135, Episode Reward: -504572.0
Step: 11000, Episode: 6, Stage: 1-1, Score: 600, Time: 356, Episode Max X: 1122, All-Time Max X: 1135, Episode Reward: -1296553.0
Step: 11500, Episode: 6, Stage: 1-1, Score: 1000, Time: 349, Episode Max X: 1132, All-Time Max X: 1135, Episode Reward: -1984068.0
Step: 12000, Episode: 7, Stage: 1-1, Score: 200, Time: 397, Episode Max X: 278, All-Time Max X: 1135, Episode Reward: -175654.0
Step: 12500, Episode: 8, Stage: 1-1, Score: 300, Time: 344, Episode Max X: 375, All-Time Max X: 1135, Episode Reward: -185491.0
Step: 13000, Episode: 8, Stage: 1-1, Score: 1900, Time: 324, Episode Max X: 686, All-Time Max X: 1135, Episode Reward: -776416.0
Step: 13500, Episode: 8, Stage: 1-1, Score: 2050, Time: 229, Episode Max X: 901, All-Time Max X: 1135, Episode Reward: -1042495.0
Step: 14000, Episode: 8, Stage: 1-1, Score: 3350, Time: 324, Episode Max X: 1130, All-Time Max X: 1135, Episode Reward: -1790349.0
Step: 14500, Episode: 9, Stage: 1-1, Score: 0, Time: 379, Episode Max X: 237, All-Time Max X: 1135, Episode Reward: -30725.0
Step: 15000, Episode: 9, Stage: 1-1, Score: 500, Time: 391, Episode Max X: 708, All-Time Max X: 1135, Episode Reward: -716047.0
Step: 15500, Episode: 10, Stage: 1-1, Score: 0, Time: 383, Episode Max X: 314, All-Time Max X: 1135, Episode Reward: -7783.0
Step: 16000, Episode: 10, Stage: 1-1, Score: 200, Time: 283, Episode Max X: 898, All-Time Max X: 1135, Episode Reward: -237720.0
Step: 16500, Episode: 10, Stage: 1-1, Score: 500, Time: 340, Episode Max X: 1123, All-Time Max X: 1135, Episode Reward: -1075240.0
Step: 17000, Episode: 10, Stage: 1-1, Score: 800, Time: 355, Episode Max X: 1123, All-Time Max X: 1135, Episode Reward: -1687607.0
Step: 17500, Episode: 11, Stage: 1-1, Score: 200, Time: 381, Episode Max X: 368, All-Time Max X: 1222, Episode Reward: -166591.0
Step: 18000, Episode: 11, Stage: 1-1, Score: 400, Time: 281, Episode Max X: 722, All-Time Max X: 1222, Episode Reward: -473412.0
Step: 18500, Episode: 11, Stage: 1-1, Score: 500, Time: 181, Episode Max X: 737, All-Time Max X: 1222, Episode Reward: -820997.0
Step: 19000, Episode: 12, Stage: 1-1, Score: 200, Time: 370, Episode Max X: 374, All-Time Max X: 1462, Episode Reward: -51173.0
