Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 40, Episode Reward: 40.0
Step: 500, Episode: 0, Stage: 1-1, Score: 0, Time: 381, Episode Max X: 190, All-Time Max X: 190, Episode Reward: 196.5
Step: 1000, Episode: 0, Stage: 1-1, Score: 1600, Time: 284, Episode Max X: 368, All-Time Max X: 368, Episode Reward: 1078.5
Step: 1500, Episode: 0, Stage: 1-1, Score: 1800, Time: 184, Episode Max X: 368, All-Time Max X: 368, Episode Reward: 1187.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 1850, Time: 84, Episode Max X: 602, All-Time Max X: 602, Episode Reward: 1804.5
Step: 2500, Episode: 1, Stage: 1-1, Score: 0, Time: 384, Episode Max X: 63, All-Time Max X: 603, Episode Reward: -9.5
Step: 3000, Episode: 1, Stage: 1-1, Score: 100, Time: 360, Episode Max X: 222, All-Time Max X: 603, Episode Reward: 509.0
Step: 3500, Episode: 1, Stage: 1-1, Score: 300, Time: 260, Episode Max X: 352, All-Time Max X: 603, Episode Reward: 796.5
Step: 4000, Episode: 1, Stage: 1-1, Score: 1650, Time: 163, Episode Max X: 434, All-Time Max X: 603, Episode Reward: 1305.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 1650, Time: 63, Episode Max X: 620, All-Time Max X: 620, Episode Reward: 1576.5
Step: 5000, Episode: 2, Stage: 1-1, Score: 0, Time: 363, Episode Max X: 143, All-Time Max X: 620, Episode Reward: 223.0
Step: 5500, Episode: 2, Stage: 1-1, Score: 1250, Time: 266, Episode Max X: 390, All-Time Max X: 620, Episode Reward: 946.5
Step: 6000, Episode: 2, Stage: 1-1, Score: 1250, Time: 166, Episode Max X: 527, All-Time Max X: 620, Episode Reward: 1233.0
Step: 6500, Episode: 2, Stage: 1-1, Score: 1250, Time: 66, Episode Max X: 635, All-Time Max X: 635, Episode Reward: 1416.0
Step: 7000, Episode: 3, Stage: 1-1, Score: 0, Time: 366, Episode Max X: 99, All-Time Max X: 635, Episode Reward: 138.0
Step: 7500, Episode: 3, Stage: 1-1, Score: 100, Time: 323, Episode Max X: 246, All-Time Max X: 635, Episode Reward: 490.5
Step: 8000, Episode: 3, Stage: 1-1, Score: 300, Time: 223, Episode Max X: 595, All-Time Max X: 635, Episode Reward: 1389.5
Step: 8500, Episode: 3, Stage: 1-1, Score: 300, Time: 123, Episode Max X: 628, All-Time Max X: 635, Episode Reward: 1446.0
Step: 9000, Episode: 3, Stage: 1-1, Score: 300, Time: 23, Episode Max X: 722, All-Time Max X: 722, Episode Reward: 1682.0
Step: 9500, Episode: 4, Stage: 1-1, Score: 100, Time: 323, Episode Max X: 581, All-Time Max X: 722, Episode Reward: 966.0
