Step: 500, Episode: 0, Stage: 1-1, Score: 1250, Time: 303, Episode Max X: 434, All-Time Max X: 434, Episode Reward: -2237.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 1250, Time: 203, Episode Max X: 608, All-Time Max X: 608, Episode Reward: -35948.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 1250, Time: 103, Episode Max X: 755, All-Time Max X: 755, Episode Reward: -69565.0
Step: 2000, Episode: 0, Stage: 1-1, Score: 1350, Time: 3, Episode Max X: 891, All-Time Max X: 891, Episode Reward: -92811.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 300, Time: 337, Episode Max X: 529, All-Time Max X: 891, Episode Reward: -27957.0
Step: 3000, Episode: 2, Stage: 1-1, Score: 200, Time: 371, Episode Max X: 668, All-Time Max X: 891, Episode Reward: -30959.0
Step: 3500, Episode: 4, Stage: 1-1, Score: 0, Time: 398, Episode Max X: 86, All-Time Max X: 1160, Episode Reward: 5204.0
Step: 4000, Episode: 4, Stage: 1-1, Score: 1500, Time: 394, Episode Max X: 898, All-Time Max X: 1160, Episode Reward: -28799.0
Step: 4500, Episode: 4, Stage: 1-1, Score: 1900, Time: 294, Episode Max X: 1469, All-Time Max X: 1469, Episode Reward: -15639.0
Step: 5000, Episode: 5, Stage: 1-1, Score: 300, Time: 387, Episode Max X: 844, All-Time Max X: 1520, Episode Reward: -64205.0
Step: 5500, Episode: 6, Stage: 1-1, Score: 300, Time: 345, Episode Max X: 1180, All-Time Max X: 1520, Episode Reward: 65825.0
Step: 6000, Episode: 8, Stage: 1-1, Score: 0, Time: 397, Episode Max X: 312, All-Time Max X: 1520, Episode Reward: -25276.0
Step: 6500, Episode: 9, Stage: 1-1, Score: 200, Time: 380, Episode Max X: 435, All-Time Max X: 1520, Episode Reward: -15330.0
Step: 7000, Episode: 10, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 706, All-Time Max X: 1520, Episode Reward: -11346.0
Step: 7500, Episode: 12, Stage: 1-1, Score: 100, Time: 384, Episode Max X: 434, All-Time Max X: 1520, Episode Reward: 22954.0
Step: 8000, Episode: 13, Stage: 1-1, Score: 0, Time: 396, Episode Max X: 313, All-Time Max X: 1520, Episode Reward: -2242.0
Step: 8500, Episode: 14, Stage: 1-1, Score: 100, Time: 348, Episode Max X: 764, All-Time Max X: 1520, Episode Reward: -11136.0
Step: 9000, Episode: 16, Stage: 1-1, Score: 0, Time: 399, Episode Max X: 86, All-Time Max X: 1520, Episode Reward: 5205.0
Step: 9500, Episode: 19, Stage: 1-1, Score: 0, Time: 398, Episode Max X: 104, All-Time Max X: 1520, Episode Reward: 6302.0
Step: 10000, Episode: 19, Stage: 1-1, Score: 0, Time: 0, Episode Max X: 900, All-Time Max X: 1520, Episode Reward: 1405.0
