Step: 500, Episode: 0, Stage: 1-1, Score: 200, Time: 300, Episode Max X: 540, All-Time Max X: 540, Episode Reward: -4130.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 500, Time: 200, Episode Max X: 895, All-Time Max X: 895, Episode Reward: -17697.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 700, Time: 389, Episode Max X: 1440, All-Time Max X: 1440, Episode Reward: -24621.0
Step: 2000, Episode: 1, Stage: 1-1, Score: 1450, Time: 312, Episode Max X: 919, All-Time Max X: 1440, Episode Reward: -11150.0
Step: 2500, Episode: 1, Stage: 1-2, Score: 19050, Time: 399, Episode Max X: 3157, All-Time Max X: 3157, Episode Reward: 84722.0
Step: 3000, Episode: 1, Stage: 1-2, Score: 19750, Time: 299, Episode Max X: 3157, All-Time Max X: 3157, Episode Reward: 58906.0
Step: 3500, Episode: 1, Stage: 1-2, Score: 19750, Time: 377, Episode Max X: 3157, All-Time Max X: 3157, Episode Reward: -8251.0
Step: 4000, Episode: 1, Stage: 1-2, Score: 20350, Time: 277, Episode Max X: 3157, All-Time Max X: 3157, Episode Reward: -33797.0
Step: 4500, Episode: 2, Stage: 1-1, Score: 0, Time: 384, Episode Max X: 96, All-Time Max X: 3157, Episode Reward: -1702.0
Step: 5000, Episode: 2, Stage: 1-1, Score: 0, Time: 284, Episode Max X: 603, All-Time Max X: 3157, Episode Reward: -10386.0
Step: 5500, Episode: 2, Stage: 1-1, Score: 300, Time: 345, Episode Max X: 836, All-Time Max X: 3157, Episode Reward: -88654.0
Step: 6000, Episode: 2, Stage: 1-1, Score: 300, Time: 245, Episode Max X: 836, All-Time Max X: 3157, Episode Reward: -126036.0
Step: 6500, Episode: 3, Stage: 1-1, Score: 400, Time: 341, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: -30562.0
Step: 7000, Episode: 4, Stage: 1-1, Score: 200, Time: 361, Episode Max X: 423, All-Time Max X: 3157, Episode Reward: -12779.0
Step: 7500, Episode: 4, Stage: 1-1, Score: 300, Time: 354, Episode Max X: 821, All-Time Max X: 3157, Episode Reward: -71741.0
Step: 8000, Episode: 4, Stage: 1-1, Score: 1350, Time: 257, Episode Max X: 821, All-Time Max X: 3157, Episode Reward: -102673.0
Step: 8500, Episode: 4, Stage: 1-1, Score: 1550, Time: 159, Episode Max X: 1097, All-Time Max X: 3157, Episode Reward: -125835.0
Step: 9000, Episode: 5, Stage: 1-1, Score: 1750, Time: 313, Episode Max X: 414, All-Time Max X: 3157, Episode Reward: 7717.0
Step: 9500, Episode: 5, Stage: 1-1, Score: 1750, Time: 213, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: -17085.0
Step: 10000, Episode: 5, Stage: 1-1, Score: 1950, Time: 116, Episode Max X: 1012, All-Time Max X: 3157, Episode Reward: -29245.0
Step: 10500, Episode: 5, Stage: 1-1, Score: 1950, Time: 352, Episode Max X: 1389, All-Time Max X: 3157, Episode Reward: -145379.0
Step: 11000, Episode: 5, Stage: 1-1, Score: 2350, Time: 302, Episode Max X: 1389, All-Time Max X: 3157, Episode Reward: -197315.0
Step: 11500, Episode: 5, Stage: 1-1, Score: 2350, Time: 202, Episode Max X: 1389, All-Time Max X: 3157, Episode Reward: -232313.0
Step: 12000, Episode: 6, Stage: 1-1, Score: 400, Time: 339, Episode Max X: 548, All-Time Max X: 3157, Episode Reward: 10982.0
Step: 12500, Episode: 6, Stage: 1-1, Score: 400, Time: 369, Episode Max X: 724, All-Time Max X: 3157, Episode Reward: -58124.0
Step: 13000, Episode: 6, Stage: 1-1, Score: 800, Time: 269, Episode Max X: 840, All-Time Max X: 3157, Episode Reward: -82003.0
Step: 13500, Episode: 8, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 40, All-Time Max X: 3157, Episode Reward: 2400.0
Step: 14000, Episode: 8, Stage: 1-1, Score: 500, Time: 329, Episode Max X: 539, All-Time Max X: 3157, Episode Reward: -15766.0
Step: 14500, Episode: 8, Stage: 1-1, Score: 900, Time: 396, Episode Max X: 1125, All-Time Max X: 3157, Episode Reward: -83650.0
Step: 15000, Episode: 8, Stage: 1-1, Score: 2150, Time: 299, Episode Max X: 1125, All-Time Max X: 3157, Episode Reward: -106147.0
Step: 15500, Episode: 8, Stage: 1-1, Score: 2550, Time: 199, Episode Max X: 1125, All-Time Max X: 3157, Episode Reward: -144639.0
Step: 16000, Episode: 9, Stage: 1-1, Score: 0, Time: 374, Episode Max X: 294, All-Time Max X: 3157, Episode Reward: -34463.0
Step: 16500, Episode: 9, Stage: 1-1, Score: 200, Time: 274, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: -53006.0
Step: 17000, Episode: 10, Stage: 1-1, Score: 0, Time: 387, Episode Max X: 182, All-Time Max X: 3157, Episode Reward: -18975.0
Step: 17500, Episode: 10, Stage: 1-1, Score: 0, Time: 371, Episode Max X: 221, All-Time Max X: 3157, Episode Reward: -73994.0
Step: 18000, Episode: 10, Stage: 1-1, Score: 1350, Time: 277, Episode Max X: 669, All-Time Max X: 3157, Episode Reward: -65417.0
Step: 18500, Episode: 11, Stage: 1-1, Score: 0, Time: 344, Episode Max X: 604, All-Time Max X: 3157, Episode Reward: -6389.0
Step: 19000, Episode: 12, Stage: 1-1, Score: 200, Time: 347, Episode Max X: 464, All-Time Max X: 3157, Episode Reward: 10661.0
Step: 19500, Episode: 12, Stage: 1-1, Score: 200, Time: 247, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -19025.0
