Step: 0, Episode: 0, Stage: 1-1, Score: 0, Time: 400, Episode Max X: 39, All-Time Max X: 39, Episode Reward: 38.0
Step: 500, Episode: 0, Stage: 1-1, Score: 500, Time: 300, Episode Max X: 365, All-Time Max X: 365, Episode Reward: 677.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 1500, Time: 203, Episode Max X: 365, All-Time Max X: 365, Episode Reward: 878.5
Step: 1500, Episode: 0, Stage: 1-1, Score: 1650, Time: 103, Episode Max X: 562, All-Time Max X: 562, Episode Reward: 1361.5
Step: 2000, Episode: 0, Stage: 1-1, Score: 1650, Time: 3, Episode Max X: 594, All-Time Max X: 594, Episode Reward: 1460.5
Step: 2500, Episode: 1, Stage: 1-1, Score: 0, Time: 303, Episode Max X: 57, All-Time Max X: 594, Episode Reward: 58.5
Step: 3000, Episode: 1, Stage: 1-1, Score: 0, Time: 329, Episode Max X: 233, All-Time Max X: 594, Episode Reward: 454.5
Step: 3500, Episode: 1, Stage: 1-1, Score: 0, Time: 311, Episode Max X: 233, All-Time Max X: 594, Episode Reward: 410.5
Step: 4000, Episode: 1, Stage: 1-1, Score: 0, Time: 211, Episode Max X: 233, All-Time Max X: 594, Episode Reward: 351.0
Step: 4500, Episode: 1, Stage: 1-1, Score: 0, Time: 111, Episode Max X: 233, All-Time Max X: 594, Episode Reward: 721.0
Step: 5000, Episode: 1, Stage: 1-1, Score: 400, Time: 11, Episode Max X: 384, All-Time Max X: 594, Episode Reward: 1102.5
