Step: 500, Episode: 0, Stage: 1-1, Score: 200, Time: 300, Episode Max X: 460, All-Time Max X: 460, Episode Reward: -23064.0
Step: 1000, Episode: 0, Stage: 1-1, Score: 600, Time: 352, Episode Max X: 846, All-Time Max X: 846, Episode Reward: -82552.0
Step: 1500, Episode: 0, Stage: 1-1, Score: 600, Time: 252, Episode Max X: 856, All-Time Max X: 856, Episode Reward: -119342.0
Step: 2000, Episode: 1, Stage: 1-1, Score: 500, Time: 347, Episode Max X: 443, All-Time Max X: 856, Episode Reward: -13612.0
Step: 2500, Episode: 1, Stage: 1-1, Score: 600, Time: 390, Episode Max X: 1118, All-Time Max X: 1118, Episode Reward: -72687.0
Step: 3000, Episode: 2, Stage: 1-1, Score: 200, Time: 313, Episode Max X: 393, All-Time Max X: 1118, Episode Reward: -12776.0
Step: 3500, Episode: 2, Stage: 1-1, Score: 700, Time: 357, Episode Max X: 683, All-Time Max X: 1118, Episode Reward: -69469.0
Step: 4000, Episode: 3, Stage: 1-1, Score: 500, Time: 334, Episode Max X: 772, All-Time Max X: 1118, Episode Reward: 34426.0
Step: 4500, Episode: 3, Stage: 1-1, Score: 2000, Time: 310, Episode Max X: 873, All-Time Max X: 1118, Episode Reward: -34599.0
Step: 5000, Episode: 3, Stage: 1-1, Score: 2300, Time: 335, Episode Max X: 1125, All-Time Max X: 1125, Episode Reward: -100836.0
Step: 5500, Episode: 4, Stage: 1-1, Score: 0, Time: 379, Episode Max X: 421, All-Time Max X: 1136, Episode Reward: -27776.0
Step: 6000, Episode: 5, Stage: 1-1, Score: 400, Time: 376, Episode Max X: 291, All-Time Max X: 1136, Episode Reward: -40322.0
Step: 6500, Episode: 6, Stage: 1-1, Score: 0, Time: 391, Episode Max X: 328, All-Time Max X: 1136, Episode Reward: -23116.0
Step: 7000, Episode: 7, Stage: 1-1, Score: 0, Time: 388, Episode Max X: 71, All-Time Max X: 1136, Episode Reward: -116.0
Step: 7500, Episode: 7, Stage: 1-1, Score: 300, Time: 288, Episode Max X: 827, All-Time Max X: 1136, Episode Reward: 22890.0
